                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0694,                  2.576,                  1.377,                0.99749,                      1,                  0.995,                0.97003,                0.25131,                 1.8402,                0.63605,             0.00065385,             0.00065385,             0.00065385
                      2,                 0.7785,                 1.8062,                 1.0851,                      1,                0.50155,                  0.995,                0.81988,                0.52578,                 2.9119,                0.78728,              0.0012944,              0.0012944,              0.0012944
                      3,                0.77443,                 1.5712,                 1.0116,                0.99934,                      1,                  0.995,                0.84511,                0.55602,                 2.1885,                0.74335,              0.0019085,              0.0019085,              0.0019085
                      4,                0.96655,                 1.5922,                 1.0918,                0.99775,                      1,                  0.995,                0.80945,                 0.5664,                 1.8599,                0.71631,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.0293,                 1.6971,                 1.1008,                0.79916,                      1,                  0.945,                0.55007,                 0.8872,                 2.4772,                0.90982,              0.0018812,              0.0018812,              0.0018812
                      6,                0.85439,                 1.5218,                 1.0537,                0.99918,                      1,                  0.995,                0.92029,                0.50921,                 1.1767,                0.71779,              0.0018416,              0.0018416,              0.0018416
                      7,                0.87605,                 1.5648,                 1.0548,                0.99943,                      1,                  0.995,                0.87873,                0.44012,                 1.1676,                0.68849,               0.001802,               0.001802,               0.001802
                      8,                0.77619,                 1.4075,                 1.0009,                      1,                0.50878,                   0.87,                0.75807,                0.78764,                 2.2297,                0.96582,              0.0017624,              0.0017624,              0.0017624
                      9,                0.76254,                 1.3691,                 1.0512,                 0.9994,                      1,                  0.995,                0.92854,                0.47739,                 1.1051,                0.71488,              0.0017228,              0.0017228,              0.0017228
                     10,                0.66187,                 1.0937,                0.95281,                0.99938,                      1,                  0.995,                0.97003,                0.49894,                0.97586,                 0.7169,              0.0016832,              0.0016832,              0.0016832
                     11,                0.66512,                 1.2108,                 1.0085,                0.99925,                      1,                  0.995,                0.97003,                0.43732,                 1.0299,                0.69611,              0.0016436,              0.0016436,              0.0016436
                     12,                 0.6447,                  1.496,                0.96739,                0.99626,                      1,                  0.995,                0.87873,                0.51411,                 1.5074,                0.73008,               0.001604,               0.001604,               0.001604
                     13,                0.65359,                 1.1341,                0.98576,                0.99941,                      1,                  0.995,                0.96378,                0.39424,                0.86209,                0.66167,              0.0015644,              0.0015644,              0.0015644
                     14,                0.59659,                0.96665,                0.92653,                0.99949,                      1,                  0.995,                0.90778,                0.36577,                0.70258,                0.64844,              0.0015248,              0.0015248,              0.0015248
                     15,                0.59792,                 1.0404,                0.97719,                0.99946,                      1,                  0.995,                0.96378,                0.27808,                 0.8313,                0.63984,              0.0014852,              0.0014852,              0.0014852
                     16,                0.57921,                 1.3277,                0.93975,                0.99921,                      1,                  0.995,                  0.995,                0.33393,                 1.1244,                 0.6614,              0.0014456,              0.0014456,              0.0014456
                     17,                0.57371,                0.99387,                0.92966,                0.99948,                      1,                  0.995,                  0.995,                0.20938,                0.74655,                0.62657,               0.001406,               0.001406,               0.001406
                     18,                0.56938,                0.95793,                0.95918,                0.99949,                      1,                  0.995,                  0.995,                0.24102,                0.62178,                0.62693,              0.0013664,              0.0013664,              0.0013664
